Cities,LAT,LNG,,,,
Agoura Hills,34.1533,-118.7617,,,,
Alhambra,34.0953,-118.1270,,,,
Arcadia,34.1397,-118.0353,,,,
Artesia,33.8658,-118.0831,,,,
Avalon,33.3428,-118.3282,,,,
Azusa,34.1336,-117.9076,,,,
Baldwin Park,34.0853,-117.9609,,,,
Bell,33.9775,-118.1870,,,,
Bell Gardens,33.9653,-118.1515,,,,
Bellflower,33.8817,-118.1170,,,,
Beverly Hills,34.0736,-118.4004,,,,
Bradbury,34.1470,-117.9709,,,,
Burbank,34.1808,-118.3090,,,,
Calabasas,34.1367,-118.6615,,,,
Carson,33.8317,-118.2817,,,,
Cerritos,33.8583,-118.0648,,,,
Claremont,34.0967,-117.7198,,,,
Commerce,34.0006,-118.1598,,,,
Compton,33.8958,-118.2201,,,,
Covina,34.0900,-117.8903,,,,
Cudahy,42.9597,-87.8615,,,,
Culver City,34.0211,-118.3965,,,,
Diamond Bar,34.0286,-117.8103,,,,
Downey,33.9401,-118.1332,,,,
Duarte,34.1395,-117.9773,,,,
El Monte,34.0686,-118.0276,,,,
El Segundo,33.9192,-118.4165,,,,
Gardena,33.8883,-118.3090,,,,
Glendale,34.1425,-118.2551,,,,
Glendora,34.1361,-117.8653,,,,
Hawaiian Gardens,33.8314,-118.0728,,,,
Hawthorne,33.9164,-118.3526,,,,
Hermosa Beach,33.8622,-118.3995,,,,
Hidden Hills,34.1649,-118.6648,,,,
Huntington Park,33.9817,-118.2251,,,,
Industry,34.0197,-117.9587,,,,
Inglewood,33.9617,-118.3531,,,,
Irwindale,34.1070,-117.9353,,,,
La Cañada Flintridge,34.2068,-118.2000,,,,
La Habra Heights,33.9608,-117.9506,,,,
La Mirada,33.9172,-118.0120,,,,
La Puente,34.0200,-117.9495,,,,
La Verne,34.1008,-117.7678,,,,
Lakewood,39.7047,-105.0814,,,,
Lancaster,34.6868,-118.1542,,,,
Lawndale,33.8872,-118.3526,,,,
Lomita,33.7922,-118.3151,,,,
Long Beach,33.7701,-118.1937,,,,
Los Angeles,34.0522,-118.2437,,,,
Lynwood,33.9303,-118.2115,,,,
Malibu,34.0259,-118.7798,,,,
Manhattan Beach,33.8847,-118.4109,,,,
Maywood,33.9867,-118.1853,,,,
Monrovia,34.1443,-118.0019,,,,
Montebello,34.0165,-118.1138,,,,
Monterey Park,34.0625,-118.1228,,,,
Norwalk,33.9022,-118.0817,,,,
Palmdale,34.5794,-118.1165,,,,
Palos Verdes Estates,33.8006,-118.3901,,,,
Paramount,33.8895,-118.1598,,,,
Pasadena,34.1478,-118.1445,,,,
Pico Rivera,33.9831,-118.0967,,,,
Pomona,34.0551,-117.7500,,,,
Rancho Palos Verdes,33.7445,-118.3870,,,,
Redondo Beach,33.8492,-118.3884,,,,
Rolling Hills,33.7570,-118.3540,,,,
Rolling Hills Estates,33.7878,-118.3581,,,,
Rosemead,34.0806,-118.0728,,,,
San Dimas,34.1067,-117.8067,,,,
San Fernando,34.2819,-118.4390,,,,
San Gabriel,34.0961,-118.1058,,,,
San Marino,34.1214,-118.1065,,,,
Santa Clarita,34.3917,-118.5426,,,,
Santa Fe Springs,33.9472,-118.0853,,,,
Santa Monica,34.0195,-118.4912,,,,
Sierra Madre,34.1617,-118.0528,,,,
Signal Hill,33.8045,-118.1678,,,,
South El Monte,34.0520,-118.0467,,,,
South Gate,33.9547,-118.2120,,,,
South Pasadena,34.1161,-118.1503,,,,
Temple City,34.1072,-118.0578,,,,
Torrance,33.8358,-118.3406,,,,
Vernon,34.0039,-118.2301,,,,
Walnut,34.0203,-117.8653,,,,
West Covina,34.0686,-117.9390,,,,
West Hollywood,34.0900,-118.3617,,,,
Westlake Village,34.1466,-118.8074,,,,
Whittier,33.9792,-118.0328,,,,